quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross,impressions
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,4006443.47,3555573619
2026-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,3854726.34,3488760501
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,3032854.68,3405657552
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,2944916.43,3204094224
2026-04-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,2415329.94,1654037533
2026-04-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,2175277.52,3021681271
2025-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,2087210.7,896135393
2025-07-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1964043.43,1293709021
2025-10-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1861141.65,1020350378
2026-01-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,1852356.77,3201508333
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,1821957.97,
2025-04-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1807146.33,431367633
2026-04-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1634268.64,1079523343
2026-01-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1454615.91,1311664090
2025-01-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1358129.23,
2026-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,1291711.34,1554805178
2026-01-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,1264723.19,1192469623
2025-04-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,1174392.17,37864952
2026-04-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,1135810.43,239498563
2025-01-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,1092322.53,
2026-04-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,1011822.26,105371822
2026-07-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,1002892.16,1560395370
2026-07-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,993755.27,689929933
2025-10-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,982911.64,734320410
2025-07-01,Direct,Open Auction - BFM,CTV,Viant,Viant,981870.8,148981531
2025-10-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,945601.7,1501712585
2025-07-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,919029.49,798463395
2026-04-01,Direct,Open Auction - BFM,CTV,Viant,Viant,902896.11,123243661
2025-10-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,895391.88,71059705
2026-01-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,868803.27,45729293
2025-01-01,Direct,Open Auction - BFM,CTV,Viant,Viant,864655.72,121621804
2025-10-01,Direct,Open Auction - BFM,CTV,Viant,Viant,856593.47,136443627
2025-10-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,849215.82,753858732
2025-01-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,847071.63,
2025-10-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,846886.45,77282698
2025-07-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,836573.97,59547803
2025-10-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,832957.81,144053714
2025-10-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,809349.42,820264827
2025-04-01,Direct,Open Auction - BFM,CTV,Viant,Viant,802084.63,125684949
2026-04-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,787019.8,38338053
2025-04-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,777378.59,251312520
2025-04-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,774478.65,190859029
2026-04-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,771723.74,903396140
2025-07-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,740149.95,661682937
2025-07-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,735728.85,80341661
2026-04-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,725140.2,939108866
2025-07-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,701267.66,72009004
2026-04-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,698772.14,1623856809
2026-04-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,685421.16,70586109
2025-07-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,666695.14,1529050885
2026-01-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,650981.59,1136516378
2026-01-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,646742.16,43921961
2026-07-01,BidSwitch,PMP Web - O&O,Online Video,DV360,DBM,642489.92,76554336
2025-07-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,631760.23,2287037784
2025-04-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,626905.99,64187694
2026-07-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,624870.33,141060339
2025-10-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,613393.03,831953164
2026-01-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,597928.92,842506464
2025-04-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,596961.99,201805782
2026-01-01,Direct,Open Auction - BFM,CTV,Viant,Viant,591320.59,87190107
2025-10-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,590669.98,1645151746
2025-04-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,588895.28,77721595
2026-01-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,585593.54,63391074
2026-01-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,568062.92,1163494978
2026-07-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,566179.67,405513676
2026-04-01,Direct,Open Auction - Seedtag,Display,StackAdapt,StackAdaptDSP,566150.94,469858833
2025-01-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,552401.72,
2026-04-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,529419.77,1739244566
2025-07-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,517271.71,31500198
2025-07-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,504782.13,54446093
2025-10-01,Direct,PMP CTV - O&O,CTV,Viant,Viant,488860.66,26104603
2025-10-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,486239.25,24799479
2026-01-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,485719.57,60000635
2025-04-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,483807.56,27419844
2025-01-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,483413.19,
2025-07-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,478205.32,434048753
2026-04-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,474485.77,22471269
2026-04-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,471352.1,649703043
2025-01-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,468060.4,59446769
