quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,4006443.47
2026-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,3854726.34
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,3032854.68
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,2944916.43
2026-04-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,2415329.94
2026-04-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,2175277.52
2025-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,2087210.7
2025-07-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1964043.43
2025-10-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1861141.65
2026-01-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,1852356.77
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,1821957.97
2025-04-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1807146.33
2026-04-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1634268.64
2026-01-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1454615.91
2025-01-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,1358129.23
2026-01-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,1264723.19
2025-04-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,1174392.17
2026-04-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,1135810.43
2025-01-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,1092322.53
2026-04-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,1011822.26
2025-10-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,982911.64
2025-07-01,Direct,Open Auction - BFM,CTV,Viant,Viant,981870.8
2025-10-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,945601.7
2026-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,DBM,939506.58
2025-07-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,919029.49
2026-04-01,Direct,Open Auction - BFM,CTV,Viant,Viant,902896.11
2025-10-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,895391.88
2026-01-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,868803.27
2025-01-01,Direct,Open Auction - BFM,CTV,Viant,Viant,864655.72
2025-10-01,Direct,Open Auction - BFM,CTV,Viant,Viant,856593.47
2025-10-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,849215.82
2025-01-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,847071.63
2025-10-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,846886.45
2025-07-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,836573.97
2025-10-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,832957.81
2025-10-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,809349.42
2025-04-01,Direct,Open Auction - BFM,CTV,Viant,Viant,802084.63
2026-04-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,787019.8
2025-04-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,777378.59
2025-04-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,774478.65
