m,bl,dsp,cva,ad,did,rev
2025-01-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - CTV - Zeta - Paramount (No Pluto),732808904693,0.0
2025-02-01,Open Auction - BFM,Bidswitch,—,Bidswitch Deal - Zeta - CTV - Spanish Language,,0.0
2025-04-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Deal - CTV - Innovid (Montana),544155661434,0.27
2025-11-01,Open Auction - BFM,Infillion,—,Bidswitch - MW - 1st Price (HB),,0.01
2025-09-01,Open Auction - BFM,Between Exchange,—,Bidswitch - Seedtag,,0.03
2025-03-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (AMC),439710757338,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Kia Dealership Visitors - CTV,Quoru128,0.0
2025-03-01,DSP Marketplace - BFM,MadHive,—,MadHive Deal - CTV - Vizio - No Content Data,848047441598,616.57
2025-12-01,Select - BFM,Bidswitch,Quorum,Quorum > Wholesale Shoppers > Physical Visitors,Quoru220,0.0
2025-04-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (LG),,8.86
2025-03-01,DSP Marketplace - BFM,—,—,Aceex SamsungAds Deal,702983394128,0.88
2025-02-01,Open Auction - BFM,TheTradeDesk,—,TTD - Inapp Sports Display - (Amazon (Matterkind)),,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - App - 70%+ VCR,950191416301,322.03
2026-02-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV - Plex,406265079126,231.12
2025-04-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - OLV - Gourmet Ads (Moran Group),809371838039,0.0
2026-01-01,Select - BFM,TheTradeDesk,Media Culture,INSP,Media14,0.05
2025-04-01,Open Auction - BFM,StackAdapt,—,0,,0.0
2026-02-01,Open Auction - BFM,Bidswitch,—,Bidswitch - CTV (AMC),,0.0
2026-02-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - Desktop/MW Display,,71.98
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,Jamloop Deal - CTV - Frndly - MeTV - Adjust,205969889099,3.14
2025-03-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV - Sling Bundle Override (Price Targeted),MH34,221.69
2025-02-01,Open Auction - BFM,Adtelligent,—,0,,0.0
2025-02-01,DSP Marketplace - BFM,IQM,—,IQM Deal - CTV - Sports RON - Politics Allowed,839419934913,66.53
2026-06-01,Open Auction - BFM,Marketperf,—,Bidswitch - MW [Display],,0.0
2025-05-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - EW Scripps,602723609558,26.06
