m,bl,dsp,cva,ad,did,rev
2026-07-01,Open Auction - BFM,Viant,—,Viant - Desktop [Display],,86.88
2025-12-01,Select - BFM,DV360,MultiLocal,T9_mlm_TA_CA_CT_CTV_BF_MLMBRID4972,Multi25,523.15
2025-12-01,DSP Marketplace - BFM,Viant,Beachfront Deal Migration,Viant Deal - CTV - Content Object Removed,918860075162,8654.37
2025-10-01,Select - BFM,Walmart,Chief Media,TTD - Chief Media - Walmart - CTV - Pub Targeting - Deal,476519491695,18921.13
2025-07-01,DSP Marketplace - BFM,DV360,—,Deal Library - CTV - Women&#039;s History Month (Genre Targeting),BFM041,204.66
2025-07-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV (AMC Networks Only),266007710126,24.37
2025-07-01,Select - BFM,TheTradeDesk,Strategus,Strategus - TTD Deal - SlingTV - Bundle List - CTV,Strat72,9.45
2025-07-01,Select - BFM,TheTradeDesk,Strategus,TTD Deal - CTV - Wades RV - National News - Live,Strat56,341.54
2025-12-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - Cable Broadcast - Scripps-Newsy,855918727592,1316.02
2025-10-01,Select - BFM,Xandr,IRIS,MNI - Health & Wellness CTV_BFM,IRIS74,0.0
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Casino Visitors - Banner,Quoru42,0.0
2025-11-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,0,976384276675,0.0
2026-07-01,DSP Marketplace - BFM,LoopMe,Beachfront Deal Curation,Seedtag CTV - LoopMe - MLS,SeedtagCTV5742927131,0.0
2025-07-01,Open Auction - BFM,GroundTruth,—,GroundTruth Display,,22.45
2025-11-01,Select - BFM,Bidswitch,Quorum,Quorum > Halloween Shoppers > Physical Visitors,Quoru196,0.0
2025-11-01,Select - BFM,AdElement,Quorum,Quorum > Holiday Shoppers > Physical Visitors,Quoru198,0.0
2025-11-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - Travel,BFM056,519.1
2026-08-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV (Tastemade),BFM067,0.0
2026-08-01,Open Auction - BFM,Equative,—,Equative CTV Video (copy),,0.08
2026-08-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (Sports),,0.0
2026-08-01,Open Auction - BFM,TheTradeDesk,—,TTD - CTV (LATAM),,12.44
2026-07-01,Open Auction - BFM,TheTradeDesk,—,SEEDTAG (DON'T USE),,246.18
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Men 45+ - Entertainment,242487362196,1214.71
2025-12-01,Select - BFM,Viant,Plex,Plex_Adelphic_$22,Plex2,43.12
2025-09-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - Zeta - CTV - $9 Fixed (Spanish Language),021402842725,0.0
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Curation,Strategus - Food & Drink Contextual Deal - $17 CPM,Strat3548981493,0.0
2025-07-01,Open Auction - BFM,—,—,F0034089 AEW GEN PROPIEDADES,,0.0
2025-09-01,Open Auction - BFM,Streamworx Lda.,—,Bidswitch - Seedtag,,0.42
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Jaguar/Land Rover Dealership Visitors - CTV,Quoru126,0.0
2026-07-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Health Coverage Seekers - Connected TV,STNXCTV024,4.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Health Coverage Seekers - Connected TV,STNXCTV024,0.0
2026-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Pharma Category Targeting - Video/CTV,Beach115,39.53
2025-11-01,Select - BFM,Viant,Viant,Rightwing tv,BFRightWing,1.86
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Lifestyle,662154926548,15558.74
2025-12-01,Open Auction - BFM,Unruly,—,Unruly Web 1st Price Video (Desktop Only),,0.0
2025-10-01,Open Auction - BFM,SimpliFi,—,SimpliFi - CTV - 1st Price (Glewed),,132.0
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Walmart - Premium CTV,785432338,0.0
2025-08-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV (LG Ads),225331237285,26.74
2026-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV (Non-News),674172181259,149.77
2026-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV - Sports Genre + Live Sports,983805237051,18.68
2026-08-01,DSP Marketplace - BFM,TheTradeDesk,BFM Internal,TTD Deal - HavasEdge - FEP Univision Spanish Inventory,618884101622,0.0
