deal_name,activation_date,dsp_group_name,clearvu_account,business_line,deal_ids,revenue_since_activation,active_days,last_seen
Kaiser Permanente Care Delivery H2 2026 - 6226,2026-07-02,Yahoo DSP,Beachfront Deal Curation,DSP Marketplace - BFM,496502243352,3.64,31,2026-08-01
Viant - Summer Sports - Liz,2026-07-10,Viant,Beachfront Deal Curation,DSP Marketplace - BFM,017239956177,0.0,23,2026-08-01
Viant - Summer Travel - Liz,2026-07-10,Viant,Beachfront Deal Curation,DSP Marketplace - BFM,908204927401,0.0,23,2026-08-01
Viant - Jetsetters & Travel Enthusiasts -  Liz,2026-07-10,Viant,Beachfront Deal Curation,DSP Marketplace - BFM,584972780815,0.0,23,2026-08-01
Adtelligent Sensitive Categories Deal - Alcohol - CTV,2026-07-14,Adtelligent,Beachfront Deal Curation,DSP Marketplace - BFM,047174670018,69.25000000000017,19,2026-08-01
Adtelligent Sensitive Categories Deal - Gambling - CTV,2026-07-14,Adtelligent,Beachfront Deal Curation,DSP Marketplace - BFM,251829334263,52.040000000000006,19,2026-08-01
Adtelligent Sensitive Category Deal - Nicotine - CTV,2026-07-14,Adtelligent,Beachfront Deal Curation,DSP Marketplace - BFM,666682540156,27.12000000000009,19,2026-08-01
Q3 Adte - Beeswax US,2026-07-21,Beeswax,,DSP Marketplace - BFM,799247166210,2.300000000000012,12,2026-08-01
Adte RibEye Q3,2026-07-26,Beeswax,,DSP Marketplace - BFM,846816640820,18.96000000000009,7,2026-08-01
Viant - Political - All Voters ,2026-07-29,Viant,Beachfront Deal Curation,DSP Marketplace - BFM,263290147805,0.0,4,2026-08-01
4INFO Deal - CTV (Indirect - G11),2026-07-30,4INFO,,DSP Marketplace - BFM,449795384017,0.0,1,2026-07-30
Adte_Optimal_Political,2026-07-31,Beeswax,,DSP Marketplace - BFM,523268969147,0.0,2,2026-08-01
