quarter,advertiser,business_line,clearvu_account,ad_name,deal_id,rev_gross,impressions,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year
2025-04-01,DV360,PMP Web - O&O,,,,1588890.65,237310290,,,
2025-04-01,TheTradeDesk,PMP Web - O&O,,,,596279.64,61118275,,,
2025-07-01,TheTradeDesk,Select - BFM,Aki,Aki Deal - CTV -  RON,Aki1,351772.11,35106613,,,37465.45
2025-10-01,Viant,PMP - Seedtag,Seedtag,__DEAL__PA__165164__GORTONS-BRAND__CONNELLY-PARTNERS__AUG-2025__US__US__AUG__2025____CTV-V2__PCOV__P5,Seedt476,337456.4,18374340,,,
2026-01-01,TheTradeDesk,DSP Marketplace - BFM,Beachfront Deal Migration,TTD Deal - Competitive Conquest Subaru - CTV,747415045888,279913.94,20647253,,,
2026-01-01,DV360,PMP - Seedtag,Seedtag,__DEAL__PA__203512__SLACK__THRIVE-DIGITAL__SMB-CTV__CA__US__JAN__2026____RON-BF-CTV-PUBLISHERS__PCOV__P5,Seedt689,271612.64,11536842,,,
2026-04-01,DV360,PMP - Seedtag,Seedtag,US BF > FULL PARAMOUNT > DV360 for ADOPS,Seedt842,268163.54,19457639,,15491.07,
2025-10-01,Yahoo DSP,Select - BFM,Camelot,PMG - LG Ads,PMGLGAds,253175.85,17506978,,,
2026-04-01,DV360,PMP - Seedtag,Seedtag,__DEAL__PA__241268__MAX__DIRECT-CLIENT__ALGO-TEST-Q2-26__US__US__MAY__2026____CTV__PCOV__P5,Seedt905,231121.02,9559438,,,
2025-07-01,TheTradeDesk,DSP Marketplace - BFM,Beachfront Deal Migration,TTD Deal - Competitive Conquest Subaru - CTV,747415045888,229607.74,10479042,,,5067.71
2025-04-01,Basis Technologies,DSP Marketplace - BFM,Beachfront Deal Curation,Basis Deal - CTV (P)-SPF,430109082311,223471.55,14295126,,,
