quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions,outgoing_bids
2026-04-01,Pubmatic,CTV SeedTag,1086148.97,,464643.3,,0,0
2026-04-01,Viant,Viant - CTV - 1st Price,850294.16,,466231.62,,0,0
2025-07-01,Viant,Viant - CTV - 1st Price,837228.04,,,400922.83,0,0
2025-10-01,TheTradeDesk,TTD - CTV (1st Price),772022.37,,,,0,0
2025-10-01,Viant,Viant - CTV - 1st Price,732169.46,,,,0,0
2025-01-01,Viant,Viant - CTV - 1st Price,726492.85,,,,0,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction,653158.22,,235567.08,,0,0
2025-04-01,Viant,Viant - CTV - 1st Price,648717.79,,,,0,0
2025-07-01,TheTradeDesk,TTD - CTV (1st Price),628795.89,,,265609.18,0,0
2026-01-01,Pubmatic,CTV SeedTag,551738.58,,,,0,0
2026-01-01,Viant,Viant - CTV - 1st Price,521454.41,,,,0,0
2025-10-01,Pubmatic,CTV SeedTag,517384.86,,,,0,0
2026-01-01,TheTradeDesk,TTD - CTV (1st Price),515489.42,,,,0,0
2025-04-01,TheTradeDesk,TTD - CTV (1st Price),513884.78,,,,0,0
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction,446024.25,,,,0,0
2026-07-01,StackAdapt,StackAdapt - CTV - Open Auction,427159.74,427159.74,,,0,0
2025-01-01,TheTradeDesk,TTD - CTV (1st Price),418309.83,,,,0,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction,382867.33,,,,0,0
2026-04-01,TheTradeDesk,TTD - CTV (1st Price),351977.68,,141427.39,,0,0
2026-07-01,Pubmatic,CTV SeedTag,317172.87,317172.87,,,0,0
2026-07-01,Pubmatic,Seedtag,276153.59,276153.59,,,0,0
2025-07-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,273831.28,,,135937.61,0,0
2026-07-01,Amobee,Amobee - CTV - 1st Price,264709.92,264709.92,,,0,0
2026-07-01,Viant,Viant - CTV - 1st Price,232420.5,232420.5,,,0,0
2025-07-01,Pubmatic,CTV SeedTag,231282.24,,,7745.65,0,0
2025-10-01,LoopMe,LoopMe - Open Auction - CTV,222608.37,,,,0,0
2025-01-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,218721.89,,,,0,0
2025-04-01,SimpliFi,SimpliFi - CTV - 1st Price,205432.01,,,,0,0
2026-04-01,Beeswax,Beeswax - CTV - Open Auction EAST,204716.91,,118685.08,,0,0
2025-07-01,StackAdapt,StackAdapt - CTV - Open Auction,193883.27,,,93933.59,0,0
2025-04-01,Zeta DSP,Bidswitch - CTV - 1st Price,181928.01,,,,0,0
2026-07-01,TheTradeDesk,TTD - CTV (1st Price),176336.84,176336.84,,,0,0
2025-04-01,Basis Technologies,Basis - CTV - oRTB - (US),168684.98,,,,0,0
2026-01-01,Amobee,Amobee - CTV - 1st Price,166137.93,,,,0,0
2025-07-01,SimpliFi,SimpliFi - CTV - 1st Price,165260.68,,,78959.67,0,0
2025-10-01,Amobee,Amobee - CTV - 1st Price,160900.29,,,,0,0
2025-01-01,Zeta DSP,Bidswitch - CTV - 1st Price,156185.31,,,,0,0
2026-01-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,149503.29,,,,0,0
2025-10-01,Basis Technologies,Basis - CTV - oRTB - (US),149298.25,,,,0,0
2025-07-01,Basis Technologies,Basis - CTV - oRTB - (US),148690.22,,,54922.5,0,0
2025-04-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,145212.04,,,,0,0
2026-01-01,Beeswax,Beeswax - CTV - Open Auction EAST,140460.06,,,,0,0
2026-07-01,StackAdapt,Seedtag,138464.53,138464.53,,,0,0
2026-04-01,Amobee,Amobee - CTV - 1st Price,135177.92,,68351.67,,0,0
2025-01-01,Beeswax,Beeswax - CTV - Open Auction EAST,134734.43,,,,0,0
2026-07-01,Beeswax,Beeswax - CTV - Open Auction EAST,128567.88,128567.88,,,0,0
2026-01-01,Zeta DSP,Bidswitch - CTV - 1st Price,127194.32,,,,0,0
2025-10-01,Lemma DSP,Lemma DSP CTV Ad,120984.36,,,,0,0
2025-07-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,120450.48,,,70012.57,0,0
2025-04-01,StackAdapt,StackAdapt - CTV - Open Auction,119340.46,,,,0,0
2025-07-01,LoopMe,LoopMe - Open Auction - CTV,119310.18,,,54969.87,0,0
2025-10-01,Beeswax,Beeswax - CTV - Open Auction EAST,115947.14,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,114755.27,,,,0,0
2025-10-01,DV360,Bidswitch - CTV - 1st Price,112199.73,,,,0,0
2025-01-01,Epsilon (Conversant),Conversant - CTV - Open Auction,108863.59,,,,0,0
2025-10-01,SimpliFi,SimpliFi - CTV - 1st Price,102354.66,,,,0,0
2025-07-01,Zeta DSP,Bidswitch - CTV - 1st Price,97947.92,,,66487.88,0,0
2025-10-01,Epsilon (Conversant),Conversant - CTV - Open Auction,94128.33,,,,0,0
2025-10-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,92085.11,,,,0,0
2025-01-01,Basis Technologies,Basis - CTV - oRTB - (US),90595.5,,,,0,0
2026-01-01,Basis Technologies,Basis - CTV - oRTB - (US),90166.34,,,,0,0
2025-07-01,Lemma DSP,Lemma DSP CTV Ad,86676.82,,,37344.47,0,0
2025-01-01,Epsilon (Conversant),Conversant Pluto CTV (204778),86013.35,,,,0,0
2025-10-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,83357.19,,,,0,0
2025-04-01,LoopMe,LoopMe - Open Auction - CTV,81278.79,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant - CTV - Open Auction,80806.41,,,,0,0
2025-07-01,Beeswax,Beeswax - CTV - Open Auction EAST,80548.81,,,13636.82,0,0
2025-07-01,DV360,Bidswitch - CTV - 1st Price,79284.29,,,43537.12,0,0
2025-07-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,78019.52,,,47356.27,0,0
2025-04-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,76484.78,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant - CTV - Open Auction,74666.58,,,31407.36,0,0
2026-04-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),72443.27,,53527.15,,0,0
2025-07-01,TheTradeDesk,TTD - APP [Display],72434.24,,,41465.29,0,0
2025-10-01,Sharethrough,Sharethrough CTV Video,72355.07,,,,0,0
2025-04-01,Viant,Viant - MW,70604.72,,,,0,0
2025-04-01,Xandr,Xandr CTV,70478.15,,,,0,0
2025-04-01,Basis Technologies,Centro Video Web (1st Price),69850.64,,,,0,0
2025-04-01,Lemma DSP,Lemma DSP CTV Ad,69659.35,,,,0,0
2025-01-01,Viant,Viant - MW,69307.55,,,,0,0
2026-01-01,LoopMe,LoopMe - Open Auction - CTV,68511.43,,,,0,0
2025-04-01,TheTradeDesk,TTD - APP [Display],68491.03,,,,0,0
2025-10-01,Xandr,Xandr CTV,66091.95,,,,0,0
2025-04-01,Viant,Viant - Desktop,65928.35,,,,0,0
2025-01-01,LoopMe,LoopMe - Open Auction - CTV,64408.15,,,,0,0
2025-10-01,Zeta DSP,Bidswitch - CTV - 1st Price,63811.49,,,,0,0
2025-10-01,Yahoo DSP,Yahoo - In-App,63737.44,,,,0,0
2025-01-01,DV360,Bidswitch - CTV - 1st Price,62821.78,,,,0,0
2025-04-01,Basis Technologies,Centro Display Web,62052.85,,,,0,0
2025-01-01,Basis Technologies,Centro Video Web (1st Price),61199.87,,,,0,0
2025-04-01,GroundTruth,GroundTruth Video CTV,60923.33,,,,0,0
2026-04-01,Basis Technologies,Basis - CTV - oRTB - (US),60216.71,,32663.48,,0,0
2025-07-01,Amobee,Amobee - CTV - 1st Price,59019.82,,,33769.79,0,0
2025-01-01,StackAdapt,StackAdapt - CTV - Open Auction,58897.79,,,,0,0
2025-01-01,Basis Technologies,Centro Display Web,58633.14,,,,0,0
2026-07-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),58617.33,58617.33,,,0,0
2025-07-01,Viant,Viant - MW,58354.72,,,24790.62,0,0
2026-04-01,Zeta DSP,Bidswitch - CTV - 1st Price,58107.54,,46697.97,,0,0
2025-01-01,Lemma DSP,Lemma DSP CTV Ad,57444.87,,,,0,0
2025-04-01,DV360,Bidswitch - CTV - 1st Price,56220.98,,,,0,0
2025-10-01,Amazon DSP,Bidswitch - Seedtag,55513.72,,,,0,0
2025-07-01,4INFO,4INFO - CTV - 1st Price,55162.75,,,21559.59,0,0
2026-04-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),55061.37,,29010.56,,0,0
2025-10-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),55056.2,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant Pluto CTV (204778),53770.67,,,,0,0
2025-10-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),52688.32,,,,0,0
2025-01-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,51856.03,,,,0,0
2026-01-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),51036.99,,,,0,0
2025-07-01,Sharethrough,Sharethrough CTV Video,50359.87,,,13270.11,0,0
2025-07-01,Amazon DSP,Bidswitch - APP 1st Price,50178.21,,,4757.3,0,0
2025-04-01,Beeswax,Beeswax - CTV - Open Auction EAST,49925.96,,,,0,0
2026-07-01,Basis Technologies,Basis - CTV - oRTB - (US),48492.76,48492.76,,,0,0
