quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-04-01,CTV SeedTag,1091227.03,,143855.01,,0
2026-04-01,Viant - CTV - 1st Price,875147.41,,94988.01,,0
2025-07-01,Viant - CTV - 1st Price,860190.24,,,125366.97,0
2025-10-01,TTD - CTV (1st Price),772509.93,,,,0
2025-10-01,Viant - CTV - 1st Price,758029.1,,,,0
2025-01-01,Viant - CTV - 1st Price,746531.84,,,,0
2026-04-01,StackAdapt - CTV - Open Auction,705147.82,,73122.64,,0
2025-04-01,Viant - CTV - 1st Price,672783.69,,,,0
2025-07-01,TTD - CTV (1st Price),651744.45,,,91692.03,0
2026-01-01,CTV SeedTag,567728.04,,,,0
2025-04-01,TTD - CTV (1st Price),535726.6,,,,0
2026-01-01,Viant - CTV - 1st Price,535260.52,,,,0
2025-10-01,CTV SeedTag,532876.64,,,,0
2026-01-01,TTD - CTV (1st Price),522059.67,,,,0
2026-01-01,StackAdapt - CTV - Open Auction,461484.41,,,,0
2025-01-01,TTD - CTV (1st Price),424578.52,,,,0
2025-10-01,StackAdapt - CTV - Open Auction,399891.48,,,,0
2026-04-01,TTD - CTV (1st Price),353956.84,,34213.95,,0
2025-07-01,Conversant - Web - Open Auction - Seedtag,271749.31,,,11262.67,0
2025-01-01,Bidswitch - CTV - 1st Price,271620.03,,,,0
2025-04-01,Bidswitch - CTV - 1st Price,252855.92,,,,0
2025-07-01,CTV SeedTag,230896.91,,,,0
2025-10-01,LoopMe - Open Auction - CTV,222753.42,,,,0
2025-01-01,Marketing Architects - CTV 1st Price,220261.35,,,,0
2025-10-01,Bidswitch - CTV - 1st Price,213878.0,,,,0
2025-04-01,SimpliFi - CTV - 1st Price,210028.52,,,,0
2026-04-01,Beeswax - CTV - Open Auction EAST,208697.51,,,,0
2025-07-01,StackAdapt - CTV - Open Auction,204657.63,,,27880.18,0
2025-07-01,Bidswitch - CTV - 1st Price,186941.62,,,33781.12,0
2026-01-01,Beeswax - CTV - Open Auction,186138.15,,,,0
2025-04-01,Basis - CTV - oRTB - (US),178098.01,,,,0
2026-01-01,Marketing Architects - CTV 1st Price,172684.32,,,,0
2026-01-01,Amobee - CTV - 1st Price,167816.69,,,,0
2025-07-01,SimpliFi - CTV - 1st Price,165882.08,,,20815.64,0
