quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-04-01,Pubmatic,CTV SeedTag,1086148.97,,254438.09,,0
2026-04-01,Viant,Viant - CTV - 1st Price,850294.16,,273634.35,,0
2025-07-01,Viant,Viant - CTV - 1st Price,837228.04,,,236949.84,0
2025-10-01,TheTradeDesk,TTD - CTV (1st Price),772022.37,,,,0
2025-10-01,Viant,Viant - CTV - 1st Price,732169.46,,,,0
2025-01-01,Viant,Viant - CTV - 1st Price,726492.85,,,,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction,653158.22,,110167.86,,0
2025-04-01,Viant,Viant - CTV - 1st Price,648717.79,,,,0
2025-07-01,TheTradeDesk,TTD - CTV (1st Price),628795.89,,,157789.36,0
2026-01-01,Pubmatic,CTV SeedTag,551738.58,,,,0
2026-01-01,Viant,Viant - CTV - 1st Price,521454.41,,,,0
2025-10-01,Pubmatic,CTV SeedTag,517384.86,,,,0
2026-01-01,TheTradeDesk,TTD - CTV (1st Price),515489.42,,,,0
2025-04-01,TheTradeDesk,TTD - CTV (1st Price),513884.78,,,,0
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction,446024.25,,,,0
2025-01-01,TheTradeDesk,TTD - CTV (1st Price),418309.83,,,,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction,382867.33,,,,0
2026-04-01,TheTradeDesk,TTD - CTV (1st Price),351977.68,,79633.19,,0
2025-07-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,273831.28,,,33416.88,0
2026-07-01,Pubmatic,CTV SeedTag,247252.81,247252.81,,,0
2025-07-01,Pubmatic,CTV SeedTag,231282.24,,,3.87,0
2026-07-01,StackAdapt,StackAdapt - CTV - Open Auction,225554.25,225554.25,,,0
2025-10-01,LoopMe,LoopMe - Open Auction - CTV,222608.37,,,,0
2025-01-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,218721.89,,,,0
2025-04-01,SimpliFi,SimpliFi - CTV - 1st Price,205432.01,,,,0
2026-04-01,Beeswax,Beeswax - CTV - Open Auction EAST,204716.91,,83267.19,,0
2025-07-01,StackAdapt,StackAdapt - CTV - Open Auction,193883.27,,,59489.43,0
2025-04-01,Zeta DSP,Bidswitch - CTV - 1st Price,181928.01,,,,0
2025-04-01,Basis Technologies,Basis - CTV - oRTB - (US),168684.98,,,,0
2026-01-01,Amobee,Amobee - CTV - 1st Price,166137.93,,,,0
2025-07-01,SimpliFi,SimpliFi - CTV - 1st Price,165260.68,,,44828.73,0
2025-10-01,Amobee,Amobee - CTV - 1st Price,160900.29,,,,0
2025-01-01,Zeta DSP,Bidswitch - CTV - 1st Price,156185.31,,,,0
2026-01-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,149503.29,,,,0
2025-10-01,Basis Technologies,Basis - CTV - oRTB - (US),149298.25,,,,0
2025-07-01,Basis Technologies,Basis - CTV - oRTB - (US),148690.22,,,31886.04,0
2025-04-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,145212.04,,,,0
2026-07-01,Viant,Viant - CTV - 1st Price,144794.43,144794.43,,,0
2026-01-01,Beeswax,Beeswax - CTV - Open Auction EAST,140460.06,,,,0
2026-04-01,Amobee,Amobee - CTV - 1st Price,135177.92,,34381.91,,0
2025-01-01,Beeswax,Beeswax - CTV - Open Auction EAST,134734.43,,,,0
