period,connection_type,business_line,product_category,dsp_group_name,clearvu_account,channel_id,rev_gross
current_week,BidSwitch,Open Auction - Seedtag,Display,DV360,,DBM,197977.32
previous_week,BidSwitch,Open Auction - Seedtag,Display,DV360,,DBM,189772.67
current_week,Direct,Open Auction - BFM,CTV,StackAdapt,,StackAdapt,169893.8
current_week,Direct,Open Auction - Seedtag,Display,MSAN,,AppNexus,166877.72
previous_week,BidSwitch,PMP Web - O&O,Display,DV360,,DBM,164614.71
previous_week,Direct,Open Auction - Seedtag,Display,MSAN,,AppNexus,154883.6
current_week,Direct,Open Auction - Seedtag,Native,MSAN,,AppNexus,152405.3
previous_week,Direct,Open Auction - Seedtag,Native,MSAN,,AppNexus,137999.78
current_week,BidSwitch,PMP Web - O&O,Display,DV360,,DBM,118105.28
current_week,Direct,Open Auction - BFM,CTV,Amobee,,Amobee,117786.36
current_week,Direct,PMP Web - O&O,Display,TheTradeDesk,,TheTradeDesk,95718.76
previous_week,Direct,Open Auction - BFM,CTV,StackAdapt,,StackAdapt,90521.83
previous_week,Direct,PMP Web - O&O,Display,TheTradeDesk,,TheTradeDesk,86789.52
current_week,Direct,DSP Marketplace - BFM,CTV,Amobee,,Amobee,86741.83
current_week,BidSwitch,PMP Web - O&O,Online Video,DV360,,DBM,82103.18
current_week,Direct,Open Auction - Seedtag,Native,RtbHouse,,RtbHouse,79496.13
previous_week,Direct,Open Auction - Seedtag,Native,RtbHouse,,RtbHouse,77697.47
current_week,Direct,Open Auction - BFM,CTV,Pubmatic,,Pubmatic,74380.33
previous_week,BidSwitch,PMP Web - O&O,Online Video,DV360,,DBM,72511.96
current_week,Direct,PMP CTV - O&O,CTV,TheTradeDesk,,TheTradeDesk,64824.95
previous_week,BidSwitch,Open Auction - Seedtag,Online Video,DV360,,DBM,58774.39
current_week,BidSwitch,Open Auction - Seedtag,Online Video,DV360,,DBM,57297.43
previous_week,Direct,PMP CTV - O&O,CTV,TheTradeDesk,,TheTradeDesk,55473.24
previous_week,Direct,Open Auction - BFM,CTV,Pubmatic,,Pubmatic,52940.09
current_week,Direct,Open Auction - Seedtag,Display,StackAdapt,,StackAdaptDSP,50351.42
previous_week,Direct,Open Auction - Seedtag,Display,StackAdapt,,StackAdaptDSP,46821.15
current_week,Direct,Open Auction - BFM,CTV,TheTradeDesk,,TheTradeDesk,45069.12
current_week,Direct,PMP Web - O&O,Online Video,TheTradeDesk,,TheTradeDesk,44097.28
previous_week,Direct,PMP Web - O&O,Online Video,TheTradeDesk,,TheTradeDesk,42241.33
current_week,Direct,Open Auction - Seedtag,Display,RtbHouse,,RtbHouse,39695.8
previous_week,Direct,Open Auction - Seedtag,Display,RtbHouse,,RtbHouse,37886.99
current_week,BidSwitch,PMP CTV - O&O,CTV,DV360,,DV360,37803.88
current_week,Direct,Open Auction - Seedtag,Native,StackAdapt,,StackAdaptDSP,36935.61
previous_week,Direct,Open Auction - Seedtag,Native,StackAdapt,,StackAdaptDSP,36887.0
current_week,Direct,Open Auction - BFM,CTV,Viant,,Viant,36115.28
previous_week,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,,TheTradeDesk,35939.48
previous_week,Direct,Open Auction - BFM,CTV,Beeswax,,Beeswax,34417.65
previous_week,Direct,Open Auction - BFM,CTV,Amobee,,Amobee,33923.87
previous_week,Direct,Open Auction - Seedtag,Display,TheTradeDesk,,TheTradeDesk,33480.74
previous_week,BidSwitch,PMP CTV - O&O,CTV,DV360,,DV360,33282.99
current_week,Direct,Open Auction - BFM,CTV,Beeswax,,Beeswax,32930.39
current_week,Direct,Open Auction - Seedtag,Display,Nexxen,,Nexxen,32781.98
previous_week,Direct,Open Auction - BFM,CTV,Viant,,Viant,32744.92
current_week,Direct,DSP Marketplace - BFM,CTV,StackAdapt,,StackAdapt,32659.4
current_week,Direct,Open Auction - Seedtag,Display,TheTradeDesk,,TheTradeDesk,32629.03
current_week,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,,Outbrain,32598.13
previous_week,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,,Outbrain,32025.62
current_week,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,,Outbrain,31725.34
previous_week,Direct,Open Auction - Seedtag,Display,Nexxen,,Nexxen,30532.9
previous_week,Direct,Open Auction - BFM,CTV,TheTradeDesk,,TheTradeDesk,29498.27
previous_week,Direct,DSP Marketplace - BFM,CTV,StackAdapt,,StackAdapt,27256.51
current_week,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,,TheTradeDesk,26765.04
previous_week,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,,Outbrain,25033.18
previous_week,Direct,Open Auction - Seedtag,Online Video,StackAdapt,,StackAdaptDSP,24505.59
current_week,Direct,Open Auction - Seedtag,Online Video,StackAdapt,,StackAdaptDSP,22806.02
current_week,BidSwitch,Open Auction - Seedtag,Display,NextRoll,,NextRoll,13797.26
previous_week,BidSwitch,Open Auction - Seedtag,Display,NextRoll,,NextRoll,13645.01
current_week,Direct,DSP Marketplace - BFM,CTV,Conversant,,Epsilon (Conversant),13372.84
previous_week,Direct,Open Auction - Seedtag,Native,Opera,,Opera,12661.91
current_week,Direct,Open Auction - Seedtag,Online Video,Conversant,,Conversant,12371.03
current_week,Direct,Open Auction - Seedtag,Native,Opera,,Opera,11772.23
current_week,Direct,Open Auction - Seedtag,Display,Conversant,,Conversant,11290.87
current_week,Direct,Open Auction - BFM,CTV,Yahoo DSP,,Yahoo DSP,11203.3
current_week,Direct,PMP CTV - O&O,CTV,StackAdapt,,StackAdapt,10802.59
current_week,Direct,PMP CTV - O&O,CTV,Viant,,Viant,10200.58
previous_week,Direct,DSP Marketplace - BFM,CTV,Conversant,,Epsilon (Conversant),9563.06
previous_week,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,,TheTradeDesk,9474.26
previous_week,Direct,PMP CTV - O&O,CTV,Viant,,Viant,9239.79
current_week,Direct,Select - BFM,CTV,TheTradeDesk,Aki,TheTradeDesk,8824.3
current_week,Direct,Open Auction - BFM,CTV,Basis Technologies,,Basis Technologies,8403.01
previous_week,Direct,Open Auction - BFM,CTV,Yahoo DSP,,Yahoo DSP,7692.41
current_week,Direct,PMP - Curation,Online Video,TheTradeDesk,,TheTradeDesk,7466.28
current_week,Direct,Open Auction - Seedtag,Online Video,Nexxen,,Nexxen,7323.46
current_week,Direct,DSP Marketplace - BFM,CTV,Yahoo DSP,,Yahoo DSP,7155.61
current_week,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,,TheTradeDesk,7136.93
previous_week,Direct,Select - BFM,CTV,TheTradeDesk,Aki,TheTradeDesk,7070.47
current_week,Direct,DSP Marketplace - BFM,CTV,Viant,,Viant,7008.59
previous_week,BidSwitch,Open Auction - Seedtag,Display,Sportradar,,Sportradar,6852.19
previous_week,Direct,Open Auction - Seedtag,Online Video,Conversant,,Conversant,6795.14
current_week,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,,Zeta DSP,6721.17
current_week,BidSwitch,Open Auction - Seedtag,Display,Sportradar,,Sportradar,6264.09
previous_week,Direct,Open Auction - Seedtag,Online Video,Nexxen,,Nexxen,6249.2
previous_week,Direct,Open Auction - Seedtag,Display,Conversant,,Conversant,5993.35
previous_week,Direct,Open Auction - BFM,CTV,Basis Technologies,,Basis Technologies,5846.25
previous_week,Direct,PMP - Curation,Online Video,TheTradeDesk,,TheTradeDesk,5646.07
current_week,Direct,Open Auction - Seedtag,Online Video,Outbrain/Teads,,Outbrain,5071.72
previous_week,Direct,Open Auction - Seedtag,Display,Xandr,,AppNexus,4569.99
current_week,Direct,Open Auction - Seedtag,Display,Xandr,,AppNexus,4433.17
previous_week,Direct,PMP - Curation,Display,RtbHouse,,RtbHouse,4137.43
previous_week,Direct,Open Auction - Seedtag,Online Video,Outbrain/Teads,,Outbrain,4014.48
previous_week,Direct,DSP Marketplace - BFM,CTV,Octillion,,Octillion,3704.24
previous_week,Direct,DSP Marketplace - BFM,CTV,Viant,,Viant,3626.57
previous_week,Direct,Open Auction - BFM,CTV,Sharethrough,,Sharethrough,3569.48
current_week,Direct,PMP - Curation,Display,RtbHouse,,RtbHouse,3565.55
previous_week,BidSwitch,Open Auction - Seedtag,Display,DV360,,GDN,3366.4
