dsp_group_name,connection_type,business_line,product_category,last_7_days,previous_7_days,abs_change,change_pct
Xandr,Direct,Direct Web - O&O,Online Video,640932.0622065496,529810.2667628555,111121.7954436941,20.97388488196899
MSAN,Direct,Open Auction - Seedtag,Display,215521.36492002776,148178.02312737418,67343.34179265358,45.447590925656414
TheTradeDesk,Reseller,PMP External Web,Online Video,176036.11158633683,119481.57715503436,56554.53443130247,47.33326741905963
DV360,BidSwitch,PMP Web - O&O,Online Video,108257.85536640229,56752.595739957556,51505.259626444735,90.75401566202135
Beeswax,Direct,Open Auction - BFM,CTV,68162.77000000034,28050.289999999994,40112.480000000345,143.0020153089339
DV360,Unknown,Direct External Web,Native,642161.3389146036,606732.5883599329,35428.750554670696,5.8392694301188985
Amazon DSP,Reseller,Open Auction - Seedtag,Online Video,173339.57596030837,147384.71519049833,25954.86076981004,17.610279828720873
DSP Not Found,Reseller,Open Auction - Seedtag,Online Video,125730.8740890532,104805.83931913103,20925.034769922175,19.965523777931867
Pubmatic,Reseller,Direct External Web,Online Video,71461.46594320016,57112.29649244964,14349.169450750524,25.124483398505106
DSP Not Found,Reseller,Direct Web - O&O,Display,20364.99423554819,8620.500247838907,11744.493987709284,136.2391236013657
TheTradeDesk,Direct,PMP Web - O&O,Online Video,132850.73014705628,121439.11460729875,11411.615539757535,9.396985128440383
Magnite,Reseller,Open Auction - Seedtag,Online Video,35752.31927836788,24384.76438207997,11367.554896287911,46.61744816628932
DV360,BidSwitch,PMP CTV - O&O,CTV,30825.570000000003,20166.75,10658.820000000003,52.853434489940135
Amazon DSP,Reseller,PMP External Web,Online Video,20903.676360062887,10313.592980643876,10590.083379419011,102.68083488745425
Outbrain/Teads,Direct,Open Auction - Seedtag,Display,37809.299379475684,27692.98147989372,10116.317899581965,36.53025914499976
MSAN,Direct,Open Auction - Seedtag,Native,207580.00614281325,197478.40530447697,10101.600838336279,5.1152939091043335
Outbrain/Teads,Direct,Open Auction - Seedtag,Native,48146.94011822688,38741.94784126086,9404.992276966019,24.275992305553455
Baidu,Reseller,Open Auction - Seedtag,Display,13460.350319040228,5818.969749993855,7641.380569046373,131.31844462766702
StackAdapt,Direct,Open Auction - BFM,CTV,61105.580000000446,53521.02999999996,7584.550000000483,14.171158514700648
StackAdapt,Direct,Open Auction - Seedtag,Display,81883.99847479095,74369.04909196473,7514.94938282622,10.104942142709445
TheTradeDesk,Direct,Direct External Web,Native,7188.0125832036965,0,7188.0125832036965,
DSP Not Found,Reseller,Open Auction - Seedtag,Native,100723.57345696156,94035.07656336454,6688.496893597025,7.112768062766506
DV360,Reseller,PMP External CTV,CTV,40750.5312835164,34512.7032268783,6237.8280566381,18.074006013473074
Conversant,Direct,Open Auction - Seedtag,Online Video,19055.998816204927,13219.554537387132,5836.444278817795,44.15008283608457
Yahoo DSP,Direct,Select - BFM,CTV,10137.140000000001,4601.299999999999,5535.840000000002,120.31034707582647
Pubmatic,Reseller,PMP External CTV,CTV,12903.24453623611,7842.877555680483,5060.366980555627,64.52181542590164
Amazon DSP,Reseller,PMP Web - O&O,Display,16038.527165916283,11117.046175042167,4921.480990874115,44.269682012501384
TheTradeDesk,Direct,PMP Web - O&O,Display,165100.17532924097,160313.22432219656,4786.9510070444085,2.985998832774783
TheTradeDesk,Direct,Direct External Web,Display,14028.275160726895,9361.827893654956,4666.447267071939,49.8454716331055
Adtheorent,Reseller,PMP External Web,Display,20916.423145505963,16282.96965048543,4633.453495020534,28.455825899561273
Adobe DSP,Reseller,PMP External Web,Online Video,5848.730346333334,1278.9537277624472,4569.776618570886,357.30586020229157
Conversant,Reseller,Open Auction - Seedtag,Display,28539.41673389262,23987.15737773898,4552.259356153641,18.977902568723362
DV360,Reseller,Open Auction - Seedtag,Display,987293.2054346289,982748.8267633949,4544.378671234008,0.46241506959622203
StackAdapt,Direct,Open Auction - Seedtag,Online Video,30069.69466100764,25732.270286966203,4337.424374041439,16.855972386697694
TheTradeDesk,Reseller,PMP External CTV,CTV,12116.363316246458,8122.491664177068,3993.8716520693897,49.17052324822583
Pubmatic,Direct,Open Auction - BFM,CTV,9958.200000000026,6186.400000000001,3771.8000000000256,60.969222811328486
DV360,Reseller,PMP External Web,Native,6398.908933206503,2777.2868411216436,3621.6220920848596,130.40144210031326
Outbrain/Teads,Reseller,Open Auction - Seedtag,Native,27035.053392043315,23703.219303690526,3331.834088352789,14.056462312838795
SmartAdServerVideo,Reseller,PMP External Web,Online Video,3187.200029104184,0,3187.200029104184,
Yahoo DSP,Reseller,Open Auction - Seedtag,Online Video,10755.339924300642,7604.883939001338,3150.4559852993043,41.42674642465376
Pubmatic,Reseller,Open Auction - Seedtag,Online Video,10779.298479579498,7726.075535906246,3053.2229436732523,39.5184195324479
Viant,Direct,DSP Marketplace - BFM,CTV,16273.080000000007,13579.490000000002,2693.5900000000056,19.835722843788727
RtbHouse,Direct,Open Auction - Seedtag,Display,58554.78863540623,56038.8946745978,2515.8939608084256,4.489549580550292
Adobe DSP,Reseller,PMP External Web,Display,3519.8500008578067,1016.9282549631671,2502.9217458946396,246.1256960536803
Opera,Direct,Open Auction - Seedtag,Native,13100.345590816454,10615.140627859117,2485.2049629573376,23.411889206959653
MadHive,Direct,DSP Marketplace - BFM,CTV,6943.259999999992,4458.599999999999,2484.6599999999926,55.727358363611735
LinkedIn,Reseller,Open Auction - Seedtag,Native,11981.971412763764,9681.475622391488,2300.495790372275,23.76183011866133
TheTradeDesk,Direct,Direct External CTV,CTV,3382.260443023121,1121.814688911552,2260.445754111569,201.4990333479036
Clickagy,Reseller,Open Auction - Seedtag,Display,4467.062070451771,2279.4561222857956,2187.605948165976,95.97052238813379
DSP Not Found,Reseller,Direct Web - O&O,Online Video,6705.962659936398,4816.178003311157,1889.784656625241,39.238264352480336
Viant,Direct,PMP CTV - O&O,CTV,7948.91,6072.960000000001,1875.949999999999,30.89020839919905
DeepIntent,Reseller,PMP External Web,Display,26771.749136747443,25017.34019090466,1754.4089458427843,7.0127716713890305
Pubmatic,Reseller,Direct External CTV,CTV,14357.960037804383,12606.559910391206,1751.400127413177,13.892768049827382
Yahoo DSP,Reseller,PMP External Web,Display,12867.408167436177,11187.636362393607,1679.7718050425701,15.014537035624397
Aqua DSP - RTB,Reseller,Open Auction - Seedtag,Online Video,2686.9607625884237,1079.1769336331636,1607.78382895526,148.9824123225545
OpenX,Reseller,Open Auction - Seedtag,Online Video,2917.0243712421943,1332.8697299546293,1584.154641287565,118.85292355926556
Opera,Direct,Open Auction - Seedtag,Display,4822.481409019223,3324.8764781704376,1497.6049308487854,45.04242309996625
