dsp_group_name,connection_type,business_line,product_category,ytd_current_year,ytd_previous_year,change_pct
DV360,Reseller,Open Auction - Seedtag,Display,20126121.58912672,4424756.358585749,354.85265081486835
Xandr,Direct,Direct Web - O&O,Display,15384935.017276198,10237875.065000067,50.27469000742389
DV360,Unknown,Direct External Web,Native,10674957.979763296,3622220.333321316,194.7075825720167
Amazon DSP,Reseller,Open Auction - Seedtag,Display,10556134.63716663,961859.0329881106,997.4721113106306
Xandr,Direct,Direct Web - O&O,Online Video,10443096.468600497,1926952.0764066563,441.9489460305928
DV360,Reseller,Open Auction - Seedtag,Online Video,9804045.449351322,2378608.2573033995,312.17570902011636
DV360,BidSwitch,Open Auction - Seedtag,Display,7518609.993253963,2442667.315339326,207.80327497072628
DV360,Reseller,PMP Web - O&O,Online Video,6053395.435051948,1187981.9491757501,409.5528125870882
DV360,Unknown,Direct External Web,Display,6024460.949106569,1890254.8392846682,218.71157390536902
DSP Not Found,Reseller,Open Auction - Seedtag,Display,5755054.632823965,13909339.540798891,-58.62452982801065
Amazon DSP,Reseller,Open Auction - Seedtag,Online Video,5200935.379089102,590591.2472904802,780.6319773532033
DV360,Reseller,PMP Web - O&O,Display,4879395.033462025,880664.9037566058,454.0580773286465
DV360,Reseller,PMP External Web,Display,4563159.618994413,1621341.5025159298,181.44345974697453
MSAN,Direct,Open Auction - Seedtag,Display,4058783.2048285794,165966.7348269539,2345.5401915694074
MSAN,Direct,Open Auction - Seedtag,Native,3710033.851527396,1174.681713975886,315733.1152504479
DV360,Reseller,PMP External Web,Online Video,3684954.9578730226,3191945.8201928916,15.445410588151466
TheTradeDesk,Reseller,PMP External Web,Online Video,3207345.2125200164,1813426.8388517099,76.86653488325767
RtbHouse,Direct,Open Auction - Seedtag,Native,3104666.8106308877,1772497.4303050302,75.15776088299341
TheTradeDesk,Reseller,PMP External Web,Display,2614594.1451580916,2018167.9769721888,29.55285065422093
DV360,Unknown,Direct External Web,Online Video,2343208.926838486,715790.1906085641,227.3597427824894
DSP Not Found,Reseller,Open Auction - Seedtag,Online Video,2135340.377716903,5745252.254477423,-62.83295696802908
DV360,Unknown,Direct External CTV,CTV,2024909.3224318572,62930.100782545414,3117.7118696010343
DV360,Reseller,Open Auction - Seedtag,Native,1681079.153871495,500180.8377904994,236.0942736825945
PubMatic ST,Reseller,Open Auction - BFM,CTV,1672450.3000000003,0,
TheTradeDesk,Direct,PMP CTV - O&O,CTV,1652998.45,384842.26,329.52622978567894
TheTradeDesk,Direct,PMP Web - O&O,Display,1584774.5297225574,953771.7068066071,66.15868539743721
Viant,Direct,Open Auction - BFM,CTV,1539056.6799999997,783850.3000000002,96.34574101713036
DSP Not Found,Reseller,Open Auction - Seedtag,Native,1505548.988946914,1775263.8720946724,-15.192946095924095
RtbHouse,Direct,Open Auction - Seedtag,Display,1430237.2749030923,782390.3356203828,82.80354572235488
TheTradeDesk,Direct,PMP Web - O&O,Online Video,1410367.2432456855,439797.85889138374,220.68533639541928
DV360,Reseller,PMP External CTV,CTV,1342700.74689857,446062.90520740167,201.01152353708213
TheTradeDesk,Direct,Open Auction - Seedtag,Online Video,1327302.4956705226,568774.4913905136,133.36181839406945
TheTradeDesk,Direct,Open Auction - Seedtag,Display,1271886.2794803474,429233.45221785235,196.3157398167598
StackAdapt,Direct,Open Auction - BFM,CTV,1248132.5500000003,106199.36000000003,1075.273137239245
Smadex,Reseller,Open Auction - Seedtag,Online Video,1134882.3536002145,133677.55351822881,748.9700205692777
BidSwitch,Reseller,Open Auction - Seedtag,Display,1122802.0701369294,587069.8385505293,91.255281127901
DV360,BidSwitch,PMP CTV - O&O,CTV,1014500.87,117782.73999999999,761.3323734869813
Outbrain/Teads,Direct,Open Auction - Seedtag,Native,999199.7257660197,712637.5331909084,40.211493112353956
Outbrain/Teads,Reseller,Open Auction - Seedtag,Native,976091.2157168553,246134.57970267927,296.56809575311786
TheTradeDesk,Direct,Open Auction - BFM,CTV,971847.4900000001,590360.8699999999,64.61922518679131
TheTradeDesk,Direct,DSP Marketplace - BFM,CTV,894116.6200000002,267874.12,233.78238256088355
DV360,BidSwitch,Open Auction - Seedtag,Online Video,884399.6792936686,384655.04728744883,129.92020656699341
Beeswax,Direct,Open Auction - BFM,CTV,777441.9800000003,85240.20000000001,812.0602485681641
TheTradeDesk,Direct,Direct External Web,Other,774655.2569904737,0,
Magnite,Reseller,Open Auction - Seedtag,Display,716244.9506323569,152009.5550894871,371.18416352887016
Yahoo DSP,Reseller,PMP External Web,Display,707840.280704542,475324.5667938333,48.917251527535655
StackAdapt,Direct,Open Auction - Seedtag,Display,671297.2162944402,0,
Viant,Direct,DSP Marketplace - BFM,CTV,656029.97,287845.1599999999,127.91071769280407
Pubmatic,Reseller,PMP External Web,Display,598498.1112897199,222494.3929932366,168.99469386085298
Outbrain/Teads,Direct,Open Auction - Seedtag,Display,589404.3604648428,256228.511429286,130.03074762330135
Magnite,Reseller,Open Auction - Seedtag,Online Video,582104.1895374419,160853.5895520506,261.8844883465152
Yahoo DSP,Reseller,PMP External Web,Online Video,576305.4625666845,330601.116085201,74.32048306157616
Pubmatic,Reseller,PMP External Web,Online Video,529353.6985532666,228860.29857098806,131.29992482687916
Pubmatic,Reseller,Direct External Web,Online Video,513668.752946708,0,
Sportradar,BidSwitch,Open Auction - Seedtag,Display,501424.8771582963,186452.56364654904,168.92892613095316
RtbHouse,Reseller,Open Auction - Seedtag,Display,482604.41579800635,88163.01813692824,447.40006183597427
DeepIntent,Reseller,PMP External Web,Display,471550.0839843013,50025.32501317507,842.6227293078258
Adobe DSP,Reseller,PMP External Web,Online Video,447146.24468143866,30054.415712190403,1387.7888459500853
Quantcast,Reseller,Open Auction - Seedtag,Display,445768.41130375816,75571.11741781492,489.8661109365494
NextRoll,BidSwitch,Open Auction - Seedtag,Display,444122.44873633154,0,
Nexxen,Direct,Open Auction - Seedtag,Display,443305.4773443918,209933.86398071607,111.16434906619573
StackAdapt,Direct,Open Auction - Seedtag,Native,439747.60618637706,0,
LinkedIn,Reseller,Open Auction - Seedtag,Native,432442.21142180037,22535.50304194579,1818.9374677675792
TheTradeDesk,Direct,Select - BFM,CTV,428794.92,594703.9200000002,-27.89774784063978
Conversant,Reseller,Open Auction - Seedtag,Online Video,416427.8357675944,260666.5483885288,59.754996696737706
StackAdapt,Reseller,Open Auction - Seedtag,Display,413256.96781460615,97039.61197547626,325.86420061020436
Criteo,Reseller,Open Auction - Seedtag,Display,406640.4767195323,58175.68195329129,598.987039027785
Smaato,Reseller,Open Auction - Seedtag,Online Video,391216.55123275367,13704.776401883952,2754.6000296580864
StackAdapt,Direct,Open Auction - Seedtag,Online Video,390894.8043661945,0,
Opera,Direct,Open Auction - Seedtag,Native,381604.659308464,110776.30825250808,244.48219599322496
Xandr,Direct,Open Auction - Seedtag,Display,380262.8397077981,273866.7624107681,38.84957647304727
Equativ Direct Demand,Reseller,Open Auction - Seedtag,Display,376361.14579933626,32230.254733302623,1067.7262525959895
Adform,Reseller,Open Auction - Seedtag,Display,374605.56569554796,112375.62635107784,233.35125939607724
Amazon DSP,Reseller,PMP External Web,Display,374478.1277158898,379.7590231831479,98509.40882378683
LinkedIn,Reseller,Open Auction - Seedtag,Display,372077.3683326285,39988.60349992098,830.4585200965164
Outbrain/Teads,Reseller,Open Auction - Seedtag,Display,370568.0106106901,104877.267355703,253.33492181281494
Nexxen,Direct,Open Auction - Seedtag,Online Video,370472.0926795244,38225.433273174545,869.176961401535
Amazon DSP,Reseller,PMP External Web,Online Video,363223.5076890134,39321.772379863076,823.72109827639
Viant,Direct,PMP CTV - O&O,CTV,360876.3999999999,35584.18,914.148422135904
Xandr,Reseller,Open Auction - Seedtag,Online Video,354617.75795786246,71880.3944323278,393.3442015148085
DeepIntent,Reseller,PMP External Web,Online Video,348389.66958235524,7973.983488242882,4269.079395461917
GroundTruth,Direct,DSP Marketplace - BFM,CTV,329467.79,85780.38,284.0829219921851
StackAdapt,Reseller,Open Auction - Seedtag,Native,328281.134027906,39071.57862733284,740.2044287973926
Xandr,Reseller,Open Auction - Seedtag,Display,323602.93802259146,87457.27437195819,270.012603692975
Adobe DSP,Reseller,PMP External Web,Display,317494.95448768104,8772.707461032855,3519.121644007274
Amobee,Direct,Open Auction - BFM,CTV,306292.47,40964.73,647.6980075298922
Yahoo DSP,Direct,Select - BFM,CTV,294018.67,456641.51000000007,-35.61280269943047
